143, 2022-04-01, Monthly Stand Fees, 1922, 175.00, 26.25, 201.25
144, 2022-04-01, Monthly Stand Fees, 1923, 175.00, 26.25, 201.25
145, 2022-04-01, Monthly Stand Fees, 1924, 175.00, 26.25, 201.25
146, 2022-04-01, Monthly Stand Fees, 1925, 175.00, 26.25, 201.25
147, 2022-04-04, Daily Rental Fees, 1926, 60.00, 9.00, 69.00
148, 2022-04-04, Weekly Rental Fees, 1927, 300.00, 45.00, 345.00
149, 2022-04-05, Daily Rental Fees, 1926, 60.00, 9.00, 69.00
150, 2022-04-06, Daily Rental Fees, 1926, 60.00, 9.00, 69.00
151, 2022-04-07, Daily Rental Fees, 1926, 60.00, 9.00, 69.00
152, 2022-04-08, Daily Rental Fees, 1926, 60.00, 9.00, 69.00
153, 2022-04-11, Weekly Rental Fees, 1927, 300.00, 45.00, 345.00
