00001, 2022-04-01, 1923, 12345, Brakes, 120.00, 2, 240.00, 240.00, 36.00, 276.00
00002, 2022-04-02, 1925, 12444, Wipers, 29.59, 1, 29.59, 29.59, 4.45, 34.04
00003, 2022-04-02, 1927, 12226, Oil, 7.99, 1, 7.99, 7.99, 1.20, 9.19
00004, 2022-04-03, 1922, 12226, Oil, 7.99, 1, 7.99, 7.99, 1.20, 9.19
00005, 2022-04-05, 1926, 12345, Brakes, 120.00, 1, 120.00, 120.00, 18.00, 138.00
00006, 2022-04-05, 1927, 12345, Brakes, 120.00, 2, 240.00, 240.00, 36.00, 276.00
00007, 2022-04-05, 1925, 12444, Wipers, 29.59, 1, 29.59, 29.59, 4.45, 34.04
00008, 2022-04-06, 1923, 12226, Oil, 7.99, 1, 7.99, 7.99, 1.20, 9.19
00009, 2022-04-07, 1924, 12226, Oil, 7.99, 1, 7.99, 7.99, 1.20, 9.19
00010, 2022-04-10, 1924, 12345, Brakes, 120.00, 1, 120.00, 120.00, 18.00, 138.00
